2026-06-16 10:46:00 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:00 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:02 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:04 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:04 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:04 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:05 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:05 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:06 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:06 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:07 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:07 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:08 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:08 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:09 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:09 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:10 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:10 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:11 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:11 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:12 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:12 | ATTACK DETECTED | Prorocol=DNS | Length=132
2026-06-16 10:46:15 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:46:17 | ATTACK DETECTED | Prorocol=ARP | Length=60
2026-06-16 10:46:17 | ATTACK DETECTED | Prorocol=ARP | Length=42
